n,Egb,dx,dy,rx,ry,T,steps,f
0.37,0.965,6.92,1.63,2,15,700,137000,lammps_0.965_0.37_6.92_1.63_2_15_700_137000
0.54,0.965,7.6,3.29,2,13,300,133000,lammps_0.965_0.54_7.60_3.29_2_13_300_133000
0.06,0.965,3.21,2.65,4,4,300,3000,lammps_0.965_0.06_3.21_2.65_4_4_300_3000
0.97,0.966,2.23,2.28,3,5,600,60000,lammps_0.966_0.97_2.23_2.28_3_5_600_60000
0.96,0.966,1.19,1.47,4,6,300,2000,lammps_0.966_0.96_1.19_1.47_4_6_300_2000
0.88,0.966,6.81,2.13,4,7,700,4000,lammps_0.966_0.88_6.81_2.13_4_7_700_4000
0.81,0.966,6.05,1.53,3,7,400,8000,lammps_0.966_0.81_6.05_1.53_3_7_400_8000
0.8,0.966,2.75,0.09,4,7,700,17000,lammps_0.966_0.80_2.75_0.09_4_7_700_17000
0.54,0.966,0.84,1.44,1,13,800,1000,lammps_0.966_0.54_0.84_1.44_1_13_800_1000
0.5,0.966,0.58,2.89,1,7,1000,113000,lammps_0.966_0.50_0.58_2.89_1_7_1000_113000
0.42,0.966,0.31,2.22,3,2,700,5000,lammps_0.966_0.42_0.31_2.22_3_2_700_5000
0.41,0.966,1.31,0.76,2,8,300,12000,lammps_0.966_0.41_1.31_0.76_2_8_300_12000
0.44,0.966,1.23,0.42,2,4,700,27000,lammps_0.966_0.44_1.23_0.42_2_4_700_27000
0.39,0.966,6.8,1.59,2,11,600,241000,lammps_0.966_0.39_6.80_1.59_2_11_600_241000
0.38,0.966,7.8,0.61,1,13,700,247000,lammps_0.966_0.38_7.80_0.61_1_13_700_247000
0.37,0.966,4.14,2.19,2,15,400,99000,lammps_0.966_0.37_4.14_2.19_2_15_400_99000
0.36,0.966,2.36,2.25,2,14,400,92000,lammps_0.966_0.36_2.36_2.25_2_14_400_92000
0.35,0.966,2.42,1.8,1,13,300,21000,lammps_0.966_0.35_2.42_1.80_1_13_300_21000
0.34,0.966,1.64,2.14,2,14,600,215000,lammps_0.966_0.34_1.64_2.14_2_14_600_215000
0.33,0.966,8.07,3.6,1,12,600,41000,lammps_0.966_0.33_8.07_3.60_1_12_600_41000
0.06,0.966,1.04,0.05,2,4,700,15000,lammps_0.966_0.06_1.04_0.05_2_4_700_15000
0.4,0.966,2.67,2.85,2,13,400,150000,lammps_0.966_0.40_2.67_2.85_2_13_400_150000
0.45,0.967,0.4,1.4,2,5,800,192000,lammps_0.967_0.45_0.40_1.40_2_5_800_192000
0.53,0.967,3.31,1.52,1,15,700,58000,lammps_0.967_0.53_3.31_1.52_1_15_700_58000
0.55,0.967,4.88,1.13,2,11,700,2000,lammps_0.967_0.55_4.88_1.13_2_11_700_2000
0.82,0.967,6.33,3.19,4,7,500,10000,lammps_0.967_0.82_6.33_3.19_4_7_500_10000
0.95,0.967,5.78,2.64,3,7,400,9000,lammps_0.967_0.95_5.78_2.64_3_7_400_9000
0.85,0.967,0.21,1.35,2,5,400,16000,lammps_0.967_0.85_0.21_1.35_2_5_400_16000
0.92,0.967,0.64,0.41,3,2,800,10000,lammps_0.967_0.92_0.64_0.41_3_2_800_10000
