n,Egb
0.67,2.57
0.7,2.57
0.75,2.57
0.79,2.57
0.47,2.57
0.61,2.57
0.45,2.57
0.38,2.57
0.12,2.57
0.0,2.57
0.06,2.57
0.07,2.57
0.13,2.57
0.16,2.57
0.36,2.57
0.19,2.57
0.17,2.57
0.23,2.57
0.25,2.57
0.29,2.57
0.3,2.57
0.32,2.57
0.33,2.57
0.21,2.57
0.6,2.571
0.56,2.571
0.53,2.571
0.47,2.571
0.49,2.571
0.48,2.571
0.61,2.571
0.5,2.571
0.62,2.571
0.8,2.571
0.69,2.571
0.7,2.571
0.71,2.571
0.72,2.571
0.73,2.571
0.75,2.571
0.78,2.571
0.67,2.571
0.46,2.571
0.08,2.571
0.43,2.571
0.0,2.571
0.44,2.571
0.11,2.571
0.12,2.571
0.15,2.571
0.17,2.571
0.19,2.571
0.22,2.571
0.1,2.571
0.28,2.571
0.3,2.571
0.31,2.571
0.33,2.571
0.36,2.571
0.38,2.571
0.42,2.571
0.25,2.571
0.48,2.572
0.5,2.572
0.54,2.572
0.56,2.572
0.6,2.572
0.62,2.572
